subject,alpha_peak,beta_peak
sub-032301,10.0,20.666666666666664
sub-032302,10.333333333333332,21.666666666666664
sub-032303,10.0,17.666666666666664
sub-032304,9.666666666666666,19.333333333333332
sub-032305,8.333333333333332,16.333333333333332
sub-032306,9.333333333333332,18.666666666666664
sub-032307,9.333333333333332,18.333333333333332
sub-032308,10.666666666666666,21.0
sub-032310,12.333333333333332,17.0
sub-032311,11.0,21.666666666666664
sub-032312,11.0,21.333333333333332
sub-032313,10.0,20.333333333333332
sub-032314,9.333333333333332,18.333333333333332
sub-032315,10.666666666666666,21.333333333333332
sub-032316,9.666666666666666,16.0
sub-032317,9.666666666666666,19.666666666666664
sub-032318,9.333333333333332,18.666666666666664
sub-032319,8.666666666666666,17.333333333333332
sub-032320,10.666666666666666,21.0
sub-032321,10.333333333333332,19.666666666666664
sub-032322,9.333333333333332,18.666666666666664
sub-032323,10.333333333333332,20.666666666666664
sub-032324,10.333333333333332,21.0
sub-032325,9.333333333333332,18.666666666666664
sub-032326,11.0,22.0
sub-032327,11.0,22.0
sub-032328,10.0,20.0
sub-032329,10.333333333333332,20.333333333333332
sub-032330,10.333333333333332,20.0
sub-032331,9.666666666666666,18.666666666666664
sub-032332,9.666666666666666,19.0
sub-032333,9.666666666666666,19.333333333333332
sub-032334,9.666666666666666,19.666666666666664
sub-032336,10.0,16.333333333333332
sub-032337,10.333333333333332,21.333333333333332
sub-032339,9.666666666666666,19.0
sub-032340,9.0,16.333333333333332
sub-032342,9.666666666666666,18.666666666666664
sub-032343,9.666666666666666,19.0
sub-032344,12.333333333333332,23.666666666666664
sub-032345,10.666666666666666,20.333333333333332
sub-032347,10.0,20.333333333333332
sub-032348,9.0,18.0
sub-032349,11.0,22.0
sub-032350,10.666666666666666,21.333333333333332
sub-032351,9.666666666666666,19.0
sub-032352,9.333333333333332,18.333333333333332
sub-032353,9.0,17.333333333333332
sub-032354,9.666666666666666,19.333333333333332
sub-032355,10.0,20.0
sub-032356,9.666666666666666,19.0
sub-032357,9.333333333333332,18.666666666666664
sub-032359,8.666666666666666,17.666666666666664
sub-032360,10.333333333333332,20.666666666666664
sub-032361,10.666666666666666,20.666666666666664
sub-032362,10.333333333333332,20.666666666666664
sub-032363,10.0,20.0
sub-032364,11.333333333333332,21.666666666666664
sub-032365,11.333333333333332,23.0
sub-032366,9.666666666666666,18.0
sub-032367,10.666666666666666,20.333333333333332
sub-032368,8.666666666666666,17.333333333333332
sub-032369,10.666666666666666,21.0
sub-032370,10.0,20.0
sub-032371,10.0,20.333333333333332
sub-032372,9.0,19.0
sub-032373,9.333333333333332,18.333333333333332
sub-032374,10.333333333333332,21.0
sub-032375,10.333333333333332,21.0
sub-032376,10.666666666666666,21.0
sub-032377,9.333333333333332,16.0
sub-032378,10.0,19.666666666666664
sub-032379,9.666666666666666,19.0
sub-032380,9.0,18.666666666666664
sub-032381,11.0,22.0
sub-032382,9.666666666666666,19.666666666666664
sub-032383,10.666666666666666,20.0
sub-032386,10.333333333333332,20.666666666666664
sub-032387,10.333333333333332,21.0
sub-032388,9.666666666666666,19.666666666666664
sub-032389,10.0,20.0
sub-032390,11.333333333333332,22.333333333333332
sub-032391,12.666666666666666,22.333333333333332
sub-032393,8.333333333333332,16.333333333333332
sub-032394,11.333333333333332,22.333333333333332
sub-032395,9.0,18.333333333333332
sub-032396,10.0,20.333333333333332
sub-032397,10.333333333333332,20.333333333333332
sub-032398,9.0,16.0
sub-032399,10.333333333333332,21.0
sub-032400,11.333333333333332,22.0
sub-032401,8.666666666666666,17.333333333333332
sub-032402,10.333333333333332,21.333333333333332
sub-032403,10.333333333333332,21.333333333333332
sub-032405,8.333333333333332,16.333333333333332
sub-032406,10.0,20.0
sub-032407,10.0,19.0
sub-032408,10.0,19.666666666666664
sub-032409,10.666666666666666,21.666666666666664
sub-032410,10.0,19.666666666666664
sub-032411,10.666666666666666,21.333333333333332
sub-032412,10.666666666666666,21.0
sub-032413,9.666666666666666,19.0
sub-032415,9.333333333333332,18.333333333333332
sub-032416,9.666666666666666,18.666666666666664
sub-032417,9.333333333333332,18.0
sub-032420,9.333333333333332,19.0
sub-032421,8.333333333333332,17.333333333333332
sub-032422,10.666666666666666,21.333333333333332
sub-032423,9.666666666666666,19.0
sub-032424,10.0,19.666666666666664
sub-032425,11.0,21.0
sub-032426,9.333333333333332,18.333333333333332
sub-032427,10.0,19.666666666666664
sub-032428,10.666666666666666,22.333333333333332
sub-032429,10.0,20.0
sub-032432,10.333333333333332,20.333333333333332
sub-032434,11.0,21.333333333333332
sub-032435,9.666666666666666,19.0
sub-032436,10.333333333333332,20.666666666666664
sub-032438,9.333333333333332,19.666666666666664
sub-032439,10.0,20.0
sub-032440,10.0,20.0
sub-032441,10.333333333333332,20.666666666666664
sub-032442,9.666666666666666,16.666666666666664
sub-032444,10.0,17.666666666666664
sub-032446,9.333333333333332,18.666666666666664
sub-032447,8.666666666666666,17.666666666666664
sub-032448,10.0,20.0
sub-032451,8.666666666666666,17.333333333333332
sub-032452,10.666666666666666,21.0
sub-032453,8.666666666666666,17.333333333333332
