subject,alpha_peak,beta_peak
sub-032302,9.666666666666666,19.666666666666664
sub-032304,8.666666666666666,16.666666666666664
sub-032307,9.666666666666666,18.666666666666664
sub-032313,10.0,20.333333333333332
sub-032314,8.333333333333332,16.333333333333332
sub-032316,10.0,16.666666666666664
sub-032317,9.333333333333332,18.666666666666664
sub-032318,8.666666666666666,23.0
sub-032319,8.333333333333332,16.0
sub-032320,11.333333333333332,22.666666666666664
sub-032321,10.333333333333332,20.333333333333332
sub-032322,10.666666666666666,21.333333333333332
sub-032324,10.666666666666666,20.333333333333332
sub-032327,10.666666666666666,16.333333333333332
sub-032329,10.333333333333332,20.666666666666664
sub-032330,10.333333333333332,19.666666666666664
sub-032332,10.0,20.0
sub-032333,11.333333333333332,18.333333333333332
sub-032339,10.0,20.666666666666664
sub-032348,8.666666666666666,17.666666666666664
sub-032349,10.666666666666666,18.0
sub-032350,10.0,20.333333333333332
sub-032351,10.0,20.0
sub-032352,10.333333333333332,20.0
sub-032353,8.0,16.0
sub-032355,9.666666666666666,19.666666666666664
sub-032356,10.333333333333332,18.666666666666664
sub-032357,9.666666666666666,19.666666666666664
sub-032359,9.333333333333332,18.0
sub-032360,9.666666666666666,17.333333333333332
sub-032361,10.333333333333332,20.666666666666664
sub-032363,11.0,20.666666666666664
sub-032364,11.666666666666666,17.0
sub-032365,11.0,21.333333333333332
sub-032366,9.666666666666666,19.333333333333332
sub-032369,10.0,20.0
sub-032370,11.0,21.333333333333332
sub-032371,10.333333333333332,20.333333333333332
sub-032372,10.0,16.333333333333332
sub-032373,8.666666666666666,17.0
sub-032377,9.0,21.666666666666664
sub-032378,10.333333333333332,20.666666666666664
sub-032381,11.333333333333332,22.0
sub-032382,10.333333333333332,20.0
sub-032383,10.333333333333332,20.333333333333332
sub-032385,9.0,18.333333333333332
sub-032387,10.0,20.0
sub-032388,11.333333333333332,22.666666666666664
sub-032389,11.0,18.333333333333332
sub-032394,11.333333333333332,22.666666666666664
sub-032395,9.666666666666666,19.333333333333332
sub-032396,11.0,21.666666666666664
sub-032398,9.0,17.333333333333332
sub-032401,11.0,22.0
sub-032403,9.666666666666666,18.0
sub-032405,8.666666666666666,16.666666666666664
sub-032406,9.666666666666666,18.333333333333332
sub-032407,10.666666666666666,21.333333333333332
sub-032413,10.0,23.333333333333332
sub-032416,9.666666666666666,18.666666666666664
sub-032420,9.666666666666666,19.333333333333332
sub-032423,9.333333333333332,18.0
sub-032426,11.0,18.0
sub-032427,10.0,19.666666666666664
sub-032429,11.0,16.0
sub-032434,11.333333333333332,22.0
sub-032435,11.0,20.0
sub-032438,12.333333333333332,23.666666666666664
sub-032439,11.0,22.0
sub-032441,10.666666666666666,19.333333333333332
sub-032452,12.0,19.666666666666664
sub-032453,8.0,16.0
sub-032454,8.0,16.0
sub-032455,11.333333333333332,24.333333333333332
sub-032456,8.0,16.0
sub-032457,9.0,17.0
sub-032460,11.333333333333332,21.666666666666664
sub-032462,10.0,19.333333333333332
sub-032467,10.333333333333332,20.666666666666664
sub-032469,10.0,19.666666666666664
sub-032470,8.333333333333332,16.666666666666664
sub-032472,11.0,22.333333333333332
sub-032474,8.333333333333332,16.0
sub-032476,10.333333333333332,20.0
sub-032477,11.666666666666666,23.666666666666664
sub-032490,11.333333333333332,21.333333333333332
sub-032493,9.333333333333332,17.0
sub-032496,9.333333333333332,18.666666666666664
sub-032497,9.0,18.0
sub-032499,10.333333333333332,20.0
sub-032501,8.333333333333332,16.666666666666664
sub-032502,8.666666666666666,17.333333333333332
sub-032503,10.666666666666666,21.0
sub-032506,11.0,17.0
sub-032507,9.0,18.0
sub-032508,10.666666666666666,20.666666666666664
sub-032512,8.666666666666666,17.0
sub-032515,9.0,18.0
sub-032516,9.666666666666666,19.0
sub-032517,11.666666666666666,20.0
sub-032524,11.0,22.0
sub-032526,9.666666666666666,19.333333333333332
sub-032528,9.0,17.666666666666664
